AREA,ACTIVITY,CLUSTER,DISTRICT,PLANNED,STATEMENT,COUNT,AMOUNT
PMTCT,INTEGRATED STATIC OUTREACH,MASAKA,BUKOMANSIMBI,42,COUNT EACH OUTREACH CONDUCTED AS AS ONE,No. of outreaches done,1008000
PMTCT,INTEGRATED STATIC OUTREACH,MASAKA,MASAKA CITY,24,COUNT EACH HC II VISITED AS AS ONE OUTREACH,No. of outreaches done,1260000
PMTCT,INTEGRATED STATIC OUTREACH,MASAKA,SEMBABULE,39,COUNT EACH HC II VISITED AS AS ONE OUTREACH,No. of outreaches done,1764000
PMTCT,LAB PERSONNEL/FLEX HOURS,MASAKA,SEMBABULE,39,COUNT EACH HC II VISITED AS AS ONE OUTREACH,No. of outreaches done,2160000
PMTCT,LAB PERSONNEL/FLEX HOURS,MASAKA,BUKOMANSIMBI,39,COUNT EACH HC II VISITED AS AS ONE OUTREACH,No. of outreaches done,1440000
PMTCT,LAB PERSONNEL/FLEX HOURS,MASAKA,MASAKA CITY,39,COUNT EACH HC II VISITED AS AS ONE OUTREACH,No. of outreaches done,720000
PMTCT,JOINT MENTORSHIPS,MASAKA,SEMBABULE,39,COUNT EACH FACILITY VISITED AS AS ONE ,No. of facilities visited,1112000
PMTCT,INTERNAL SQAs,MASAKA,SEMBABULE,3,COUNT EACH FACILITY VISITED AS AS ONE ,No. of facilities visited,1112000
PMTCT,PrEP REFILLS,MASAKA,SEMBABULE,6,COUNT EACH OUTREACH AS AS ONE ,No. of outreaches done,1560000
PMTCT,PrEP REFILLS,MASAKA,BUKOMANSIMBI,6,COUNT EACH OUTREACH AS AS ONE ,No. of outreaches done,1240000
PMTCT,PrEP REFILLS,MASAKA,MASAKA CITY,6,COUNT EACH OUTREACH AS AS ONE ,No. of outreaches done,752000
